frame_number,tracked_points_count,avg_pixel_speed_per_frame,speed_kph
265,1,0.0,0.0
266,1,0.0,0.0
267,1,0.0,0.0
268,1,0.09,0.93
269,1,0.0,0.0
270,1,0.01,0.06
271,1,0.11,1.18
272,1,0.0,0.02
273,1,0.08,0.85
274,1,0.0,0.0
275,1,0.0,0.03
276,1,0.0,0.02
277,1,0.03,0.28
278,1,0.09,0.92
279,1,0.0,0.0
280,1,0.0,0.02
281,1,0.0,0.02
282,1,0.05,0.55
283,1,0.0,0.04
284,1,0.0,0.04
285,1,0.41,4.48
286,1,0.73,7.9
287,1,0.05,0.56
288,1,0.05,0.55
289,1,0.02,0.25
290,1,0.02,0.18
291,1,0.01,0.07
292,1,0.0,0.02
293,1,0.04,0.4
294,1,4.9,52.93
295,1,12.63,136.37
296,1,13.57,146.54
297,1,22.24,240.21
298,1,16.37,176.81
299,1,17.03,183.87
300,1,15.93,172.04
301,3,9.36,101.1
302,3,9.98,107.81
303,3,10.67,115.22
304,3,11.33,122.36
305,3,12.12,130.84
306,3,13.17,142.2
307,3,13.89,150.02
308,3,15.14,163.52
309,3,16.22,175.22
310,3,17.89,193.2
311,3,19.57,211.32
312,3,21.38,230.93
313,3,23.45,253.25
314,3,25.87,279.38
315,2,25.94,280.19
316,1,23.51,253.9
317,0,0,0
318,1,0.0,0.03
319,1,0.05,0.58
320,1,0.23,2.47
321,1,0.03,0.33
322,1,0.01,0.14
323,1,0.0,0.01
324,1,0.02,0.24
325,1,0.0,0.0
326,1,0.0,0.01
327,1,0.0,0.01
328,1,0.0,0.02
329,1,0.0,0.0
330,1,0.05,0.52
331,1,0.01,0.07
332,1,0.01,0.09
333,1,0.01,0.07
334,1,0.0,0.02
335,1,0.0,0.02
336,1,0.0,0.02
337,1,0.0,0.02
338,1,0.0,0.03
339,1,0.0,0.02
340,1,0.0,0.03
341,1,0.01,0.11
342,1,0.04,0.43
343,1,0.08,0.92
344,1,0.0,0.0
345,1,0.0,0.03
346,1,0.0,0.01
347,1,0.0,0.01
348,1,0.02,0.18
349,1,0.0,0.01
350,1,0.0,0.03
351,1,0.0,0.02
352,1,0.0,0.01
353,1,0.0,0.0
354,1,0.02,0.21
355,1,0.01,0.1
356,1,0.0,0.01
357,1,0.0,0.02
358,1,0.0,0.01
359,1,0.0,0.01
360,1,0.02,0.25
361,1,0.02,0.18
362,1,0.02,0.19
363,1,0.0,0.05
364,1,0.01,0.13
365,1,0.0,0.01
366,1,0.0,0.01
367,1,0.0,0.0
368,1,0.0,0.01
369,1,0.0,0.02
370,1,0.0,0.0
371,1,0.0,0.01
372,1,0.0,0.0
373,1,0.0,0.0
374,1,0.03,0.35
375,1,0.0,0.03
376,1,0.02,0.22
377,1,0.0,0.01
378,1,0.0,0.01
379,1,0.0,0.0
380,1,0.0,0.0
381,1,0.0,0.0
382,1,0.0,0.01
383,1,0.0,0.0
384,1,0.01,0.15
385,1,0.0,0.01
386,1,0.0,0.01
387,1,0.0,0.0
388,1,0.0,0.0
389,1,0.0,0.01
390,1,0.0,0.0
391,1,0.0,0.01
392,1,0.0,0.0
393,1,0.0,0.01
394,1,0.0,0.0
395,1,0.0,0.0
396,1,0.0,0.01
397,1,0.0,0.0
398,1,0.0,0.0
399,1,0.0,0.0
400,1,0.0,0.0
401,1,0.0,0.0
402,1,0.0,0.0
403,1,0.0,0.01
404,1,0.08,0.82
405,1,0.01,0.05
406,1,0.0,0.0
407,1,0.0,0.0
408,1,0.0,0.01
409,1,0.08,0.86
410,1,0.0,0.01
411,1,0.0,0.01
412,1,0.0,0.01
413,1,0.0,0.01
414,1,0.0,0.0
415,1,0.0,0.02
416,1,0.0,0.0
417,1,0.0,0.01
418,1,0.0,0.0
419,1,0.0,0.0
420,1,0.0,0.0
421,1,0.0,0.0
422,1,0.0,0.0
423,1,0.0,0.01
424,1,0.0,0.0
425,1,0.01,0.13
426,1,0.02,0.17
427,1,0.0,0.0
428,1,0.0,0.0
429,1,0.0,0.0
430,1,0.0,0.0
431,1,0.0,0.0
432,1,0.0,0.0
433,1,0.11,1.21
434,1,0.09,0.94
435,1,0.08,0.83
436,1,0.2,2.11
437,1,0.0,0.02
438,1,0.0,0.01
439,1,0.0,0.03
440,1,0.01,0.13
441,1,0.34,3.68
442,1,0.19,2.04
443,1,0.1,1.08
444,1,0.35,3.8
445,1,0.24,2.62
446,1,0.36,3.92
447,1,1.61,17.38
448,1,12.71,137.28
449,1,14.21,153.44
450,1,27.06,292.24
451,5,15.31,165.34
452,5,16.64,179.66
453,5,18.15,196.06
454,5,18.96,204.79
455,5,22.08,238.47
456,5,24.31,262.53
457,5,27.11,292.77
458,4,24.38,263.31
459,3,35.26,380.81
460,2,30.36,327.85
461,1,27.51,297.05
462,0,0,0
463,1,0.02,0.19
464,1,0.26,2.84
465,1,0.0,0.01
466,1,0.0,0.02
467,1,0.03,0.36
468,1,0.22,2.38
469,1,0.18,1.97
470,1,0.0,0.03
471,1,0.0,0.0
472,1,0.0,0.0
473,1,0.24,2.61
474,1,0.02,0.24
475,1,0.29,3.11
476,1,0.01,0.08
477,1,0.02,0.22
478,1,0.01,0.12
479,1,0.1,1.03
480,1,0.17,1.85
481,1,0.13,1.42
482,1,0.0,0.04
483,1,0.01,0.1
484,1,0.0,0.01
485,1,0.0,0.0
486,1,0.03,0.36
487,1,0.08,0.91
488,1,0.1,1.1
489,1,0.01,0.15
490,1,0.12,1.31
491,1,0.14,1.52
492,1,0.0,0.04
493,1,0.18,1.96
494,1,7.31,78.94
495,1,16.08,173.67
496,1,17.49,188.84
497,1,20.37,219.97
498,1,21.34,230.45
499,1,23.63,255.2
500,1,26.35,284.58
501,1,28.7,309.99
502,1,33.37,360.41
503,0,0,0
504,1,0.0,0.01
505,1,0.13,1.43
506,1,0.01,0.08
507,1,0.0,0.03
508,1,0.01,0.1
509,1,0.0,0.0
510,1,0.0,0.03
511,1,0.0,0.03
512,1,0.0,0.01
513,1,0.0,0.0
514,1,0.0,0.04
515,1,0.0,0.0
516,1,0.19,2.09
517,1,0.08,0.82
518,1,0.0,0.04
519,1,0.0,0.02
520,1,0.07,0.8
521,1,0.12,1.3
522,1,0.01,0.07
523,1,0.05,0.56
524,1,0.0,0.01
525,1,0.0,0.0
526,1,0.01,0.11
527,1,0.0,0.0
528,1,0.06,0.61
529,1,0.0,0.01
530,1,0.0,0.01
531,1,0.02,0.18
532,1,0.04,0.38
533,1,0.06,0.64
534,1,0.0,0.02
535,1,0.1,1.04
536,1,0.0,0.02
537,1,0.06,0.6
538,1,0.04,0.42
539,1,0.07,0.73
540,1,0.0,0.04
541,1,0.0,0.01
542,1,0.0,0.01
543,1,0.0,0.0
544,1,0.0,0.0
545,1,0.0,0.01
546,1,0.0,0.0
547,1,0.0,0.0
548,1,0.09,0.93
549,1,0.09,0.95
550,1,0.0,0.05
551,1,0.0,0.0
552,1,0.0,0.01
553,1,0.13,1.37
554,1,0.02,0.25
555,1,0.19,2.07
556,1,0.02,0.24
557,1,0.09,0.92
558,1,0.0,0.02
559,1,0.0,0.01
560,1,0.0,0.0
561,1,0.0,0.0
562,1,0.0,0.0
563,1,0.0,0.0
564,1,0.0,0.0
565,1,0.0,0.0
566,1,0.01,0.11
567,1,0.0,0.02
568,1,0.0,0.0
569,1,0.0,0.0
570,1,0.0,0.0
571,1,0.03,0.28
572,1,0.0,0.0
573,1,0.0,0.0
574,1,0.0,0.05
575,1,0.0,0.01
576,1,0.1,1.03
577,1,0.07,0.81
578,1,0.0,0.03
579,1,0.0,0.0
580,1,0.07,0.8
581,1,0.0,0.02
582,1,0.0,0.0
583,1,0.0,0.0
584,1,0.05,0.55
585,1,0.0,0.02
586,1,0.0,0.01
587,1,0.0,0.0
588,1,0.0,0.02
589,1,0.24,2.65
590,1,15.47,167.09
591,1,17.47,188.63
592,1,19.81,213.96
593,1,21.59,233.16
594,1,23.99,259.09
595,1,26.56,286.82
596,1,22.41,242.03
597,1,32.06,346.24
598,1,36.32,392.24
599,1,33.0,356.43
600,1,22.88,247.07
601,1,0.0,0.02
602,1,0.0,0.0
603,1,0.06,0.69
604,1,0.0,0.01
605,1,0.0,0.01
606,1,0.0,0.0
607,1,0.01,0.12
608,1,0.03,0.28
609,1,0.0,0.04
610,1,0.01,0.07
611,1,0.01,0.06
612,1,0.01,0.07
613,1,0.04,0.38
614,1,0.02,0.27
615,1,0.01,0.06
616,1,0.02,0.2
617,1,0.02,0.24
618,1,0.02,0.2
619,1,0.09,1.01
620,1,0.13,1.37
621,1,0.01,0.12
622,1,0.0,0.01
623,1,0.27,2.9
624,1,0.15,1.64
625,1,0.12,1.3
626,1,0.28,3.06
627,1,0.01,0.16
628,1,0.0,0.02
629,1,0.0,0.01
630,1,0.14,1.53
631,1,0.16,1.75
632,1,0.0,0.03
633,1,0.07,0.78
634,1,0.0,0.05
635,1,0.0,0.03
636,1,0.08,0.86
637,1,0.26,2.83
638,1,0.07,0.78
639,1,0.07,0.73
640,1,10.0,107.96
641,1,13.46,145.38
642,1,15.6,168.49
643,1,16.4,177.14
644,1,17.93,193.63
645,1,19.05,205.76
646,1,22.82,246.43
647,1,21.41,231.23
648,1,23.05,248.94
649,1,23.63,255.15
650,1,29.88,322.69
651,0,0,0
652,1,0.0,0.03
653,1,0.0,0.04
654,1,0.07,0.72
655,1,0.0,0.02
656,1,0.0,0.05
657,1,0.12,1.32
658,1,0.0,0.0
659,1,0.0,0.0
660,1,0.0,0.0
661,1,0.0,0.02
662,1,0.09,1.0
663,1,0.02,0.17
664,1,0.0,0.02
665,1,0.06,0.64
666,1,0.08,0.84
667,1,0.1,1.08
668,1,0.0,0.01
669,1,0.06,0.66
670,1,0.0,0.01
671,1,0.0,0.0
672,1,0.12,1.27
673,1,0.02,0.17
674,1,0.04,0.41
675,1,0.0,0.0
676,1,0.01,0.14
677,1,0.0,0.02
678,1,0.0,0.01
679,1,0.0,0.03
680,1,0.0,0.01
681,1,0.06,0.66
682,1,0.01,0.06
683,1,0.01,0.08
684,1,0.01,0.06
685,1,0.01,0.08
686,1,0.02,0.2
687,1,0.01,0.07
688,1,0.0,0.0
